日期,市場別,代號,名稱,狀態,原始資料
2026-07-21,上櫃,3288,點晶,注意,2 | 3288 | 點晶 | 16 | 最近六個營業日(含當日)累積之最後成交價漲幅達39.91%(第一款)當日之成交量較最近六十個營業日日平均成交量放大5.51倍(第三款) | 115/07/21 | 26.45 | N/A | ../../mainboard/listed/company-detail.html?code=3288
2026-07-21,上櫃,3288,點晶(../../mainboard/listed/company-detail.html?code=3288),處置,1 | 115/07/21 | 3288 | 點晶(../../mainboard/listed/company-detail.html?code=3288) | 7 | 115/07/22~115/08/04 | 因連續3個營業日達本中心作業要點第四條第一項第一款(./attention.html) | 點晶科技股份有限公司股票(代號：3288)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年7月22日起10個營業日(115年7月22日至115年8月4日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。 | 26.45 | N/A | 公布注意情形(./attention.html?code=3288&startDate=20260621&endDate=20260721&type=code) 財務業務資訊及股權異動(https://mops.twse.com.tw/mops/#/web/t146sb05?companyId=3288) 財務資訊重點專區(https://mops.twse.com.tw/mops/#/web/t211sb01_q1) 交易資訊重點專區(https://mops.twse.com.tw/mops/#/web/t211sb05)
2026-07-21,上櫃,3624,光頡,注意,2 | 3624 | 光頡 | 16 | 最近六個營業日(含當日)累積之最後成交價跌幅達34.18%(第一款)當日週轉率達6.9%(第四款) | 115/07/21 | 90.90 | 43.91 | ../../mainboard/listed/company-detail.html?code=3624
2026-07-21,上櫃,3624,光頡(../../mainboard/listed/company-detail.html?code=3624),處置,1 | 115/07/21 | 3624 | 光頡(../../mainboard/listed/company-detail.html?code=3624) | 7 | 115/07/22~115/08/04 | 因連續3個營業日達本中心作業要點第四條第一項第一款(./attention.html) | 光頡科技股份有限公司股票(代號：3624)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年7月22日起10個營業日(115年7月22日至115年8月4日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。 | 90.90 | 43.91 | 公布注意情形(./attention.html?code=3624&startDate=20260621&endDate=20260721&type=code) 財務業務資訊及股權異動(https://mops.twse.com.tw/mops/#/web/t146sb05?companyId=3624) 財務資訊重點專區(https://mops.twse.com.tw/mops/#/web/t211sb01_q1) 交易資訊重點專區(https://mops.twse.com.tw/mops/#/web/t211sb05)
2026-07-21,上市,3653,健策,注意,136 | 3653 | 健策 | 2 | 六個營業日起迄兩個營業日收盤價價差達450.00元且當日收盤價為最近六個營業日收盤價最高者﹝第十一款﹞。 | 115.07.21 | 3520.00 | 97.37
2026-07-21,上市,3665,貿聯-KY,注意,138 | 3665 | 貿聯-KY | 2 | 六個營業日起迄兩個營業日收盤價價差達240.18元且當日收盤價為最近六個營業日收盤價最高者﹝第十一款﹞。07月20日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率12.91%，且07月20日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.92倍﹝第十二款﹞。 | 115.07.21 | 2000.00 | 40.36
2026-07-21,上櫃,3675,德微,注意,2 | 3675 | 德微 | 16 | 最近六個營業日(含當日)累積之最後成交價跌幅達27.58%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣64.5元(第一款) | 115/07/21 | 267.50 | 94.86 | ../../mainboard/listed/company-detail.html?code=3675
2026-07-21,上櫃,3675,德微(../../mainboard/listed/company-detail.html?code=3675),處置,1 | 115/07/21 | 3675 | 德微(../../mainboard/listed/company-detail.html?code=3675) | 7 | 115/07/22~115/08/04 | 因連續3個營業日達本中心作業要點第四條第一項第一款(./attention.html) | 德微科技股份有限公司股票(代號：3675)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年7月22日起10個營業日(115年7月22日至115年8月4日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。 | 267.50 | 94.86 | 公布注意情形(./attention.html?code=3675&startDate=20260621&endDate=20260721&type=code) 財務業務資訊及股權異動(https://mops.twse.com.tw/mops/#/web/t146sb05?companyId=3675) 財務資訊重點專區(https://mops.twse.com.tw/mops/#/web/t211sb01_q1) 交易資訊重點專區(https://mops.twse.com.tw/mops/#/web/t211sb05)
2026-07-21,上櫃,4139,馬光-KY,注意,2 | 4139 | 馬光-KY | 16 | 最近六個營業日(含當日)累積之最後成交價漲幅達45.01%(第一款) | 115/07/21 | 39.95 | N/A | ../../mainboard/listed/company-detail.html?code=4139
2026-07-21,上市,4807,日成-KY,注意,146 | 4807 | 日成-KY | 2 | 最近六十個營業日起迄兩個營業日之收盤價漲幅達144.96% ﹝第二款﹞。 | 115.07.21 | 38.95 | 28.43
2026-07-21,上櫃,5274,信驊,注意,2 | 5274 | 信驊 | 16 | 最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣1115元(第十一款) | 115/07/21 | 14100.00 | 119.63 | ../../mainboard/listed/company-detail.html?code=5274
2026-07-21,上櫃,5450,南良,注意,2 | 5450 | 南良 | 16 | 最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為5.99倍，當日成交量較最近六十個營業日之日平均成交量放大為15.54倍(第九款) | 115/07/21 | 17.95 | 94.47 | ../../mainboard/listed/company-detail.html?code=5450
2026-07-21,上櫃,6173,信昌電,注意,2 | 6173 | 信昌電 | 16 | 最近六個營業日(含當日)累積之最後成交價跌幅達33.23%(第一款) | 115/07/21 | 175.00 | 46.92 | ../../mainboard/listed/company-detail.html?code=6173
