日期,代號,名稱,市場別,收盤價,漲跌幅,成交量,本益比,主力淨買超
2026-07-06,01002T,土銀國泰R1,上市,13.8,0.01,40000,,-7000.0
2026-07-06,01004T,土銀富邦R2,上市,10.31,0.01,72000,,
2026-07-06,01007T,兆豐國泰R2,上市,12.44,-0.01,496000,,2000.0
2026-07-06,01009T,王道圓滿R1,上市,5.69,-0.02,11000,,
2026-07-06,01010T,京城樂富R1,上市,10.0,0.0,179050,,4000.0
2026-07-06,020000,富邦特選蘋果N,上市,0.0,0.0,0,,
2026-07-06,020001,富邦存股雙十N,上櫃,,,0,,
2026-07-06,020011,統一微波高息20N,上市,0.0,0.0,0,,
2026-07-06,020012,富邦行動通訊N,上市,0.0,0.0,0,,
2026-07-06,02001L,富邦蘋果正二N,上市,176.7,-6.25,116000,,-38000.0
2026-07-06,020020,元大台股領航N,上市,27.76,0.0,8000,,6000.0
2026-07-06,020025,統一亞洲半導體N,上櫃,42.96,-0.2,96000,,65000.0
2026-07-06,020027,元大上櫃ESG成長N,上櫃,11.3,-0.12,65000,,-27000.0
2026-07-06,020028,元大特選電動車N,上市,19.78,-0.14,13000,,9000.0
2026-07-06,020029,元大ESG高股息N,上市,18.7,0.02,6000,,4000.0
2026-07-06,020030,統一智慧電動車N,上市,18.77,-0.54,24000,,-24000.0
2026-07-06,020031,統一IC設計臺灣N,上市,10.46,-0.32,28000,,-8000.0
2026-07-06,020032,元大綠能N,上市,10.75,0.18,2000,,2000.0
2026-07-06,020033,統一恒生科期N,上櫃,3.6,-0.02,19000,,18000.0
2026-07-06,020034,元大IC設計N,上市,14.26,-0.19,16000,,-2000.0
2026-07-06,020035,元大上櫃ESG高息N,上櫃,,,0,,
2026-07-06,020036,元大金融配息N,上市,9.7,0.13,10000,,4000.0
2026-07-06,020037,元大金融高股息N,上市,0.0,0.0,0,,
2026-07-06,020038,元大ESG配息N,上市,14.43,0.12,3000,,3000.0
2026-07-06,020039,元大加權N,上市,14.94,0.0,2000,,2000.0
2026-07-06,020040,元大上櫃ESG龍頭N,上櫃,,,0,,
2026-07-06,020041,兆豐半導體氣候N,上櫃,19.65,-0.29,27000,,21000.0
2026-07-06,1101,台泥,上市,23.7,0.05,15832509,,-798440.0
2026-07-06,1101B,台泥乙特,上市,43.8,0.05,5110,,
2026-07-06,1102,亞泥,上市,36.55,0.1,11488969,12.27,-4386902.0
2026-07-06,1103,嘉泥,上市,13.75,0.1,351094,17.19,118000.0
2026-07-06,1104,環泥,上市,27.55,0.15,782068,10.76,92999.0
2026-07-06,1108,幸福,上市,14.1,0.2,496674,6.98,-22000.0
2026-07-06,1109,信大,上市,14.8,0.1,84345,18.73,5196.0
2026-07-06,1110,東泥,上市,15.9,-0.05,453057,49.69,102200.0
2026-07-06,1201,味全,上市,12.7,0.05,885935,33.42,54000.0
2026-07-06,1203,味王,上市,42.9,-0.45,23165,24.94,2000.0
2026-07-06,1210,大成,上市,58.8,0.8,3934081,13.93,1086679.0
2026-07-06,1213,大飲,上市,7.58,-0.32,90322,,-383.0
2026-07-06,1215,卜蜂,上市,113.0,0.5,1822124,12.18,636962.0
2026-07-06,1216,統一,上市,77.8,1.5,22603259,21.03,10570264.0
2026-07-06,1217,愛之味,上市,10.2,0.05,1132014,21.25,-329000.0
2026-07-06,1218,泰山,上市,17.3,-0.05,1040070,11.23,-10000.0
2026-07-06,1219,福壽,上市,12.35,-0.05,1433046,26.28,348000.0
2026-07-06,1220,台榮,上市,11.85,0.0,69911,592.5,3000.0
2026-07-06,1225,福懋油,上市,28.05,-0.6,427765,16.4,-32011.0
2026-07-06,1227,佳格,上市,30.65,0.65,2862048,20.99,192684.0
2026-07-06,1229,聯華,上市,43.7,-0.05,4947554,16.81,-1362880.0
2026-07-06,1231,聯華食,上市,89.1,0.6,410006,20.25,49698.0
2026-07-06,1232,大統益,上市,149.0,2.5,933086,17.23,-107000.0
2026-07-06,1233,天仁,上市,28.15,-0.05,36554,34.33,-1000.0
2026-07-06,1234,黑松,上市,33.35,0.2,91504,19.97,-2000.0
2026-07-06,1235,興泰,上市,36.9,-0.1,302020,,-1000.0
