代號,更新日期,名稱,市場別,產業別,實收資本額,發行股數
2104,2026-08-30,國際中橡投資控股股份有限公司,上市,橡膠工業,9847336250,984733625
2105,2026-08-30,正新橡膠工業股份有限公司,上市,橡膠工業,32414155360,3241415536
2106,2026-08-30,建大工業股份有限公司,上市,橡膠工業,9548900000,954890000
2107,2026-08-30,厚生股份有限公司,上市,橡膠工業,3035934000,303593400
2108,2026-08-30,南帝化學工業股份有限公司,上市,橡膠工業,4924166590,492416659
2109,2026-08-30,華豐橡膠工業股份有限公司,上市,橡膠工業,2793491340,279349134
2114,2026-08-30,鑫永銓股份有限公司,上市,橡膠工業,779917070,77991707
2115,2026-08-30,六暉控股股份有限公司,上市,汽車工業,1043731630,104373163
2201,2026-08-30,裕隆汽車製造股份有限公司,上市,汽車工業,10700012510,1070001251
2204,2026-08-30,中華汽車工業股份有限公司,上市,汽車工業,5536203420,553620342
2206,2026-08-30,三陽工業股份有限公司,上市,汽車工業,7736756040,773675604
2207,2026-08-30,和泰汽車股份有限公司,上市,汽車工業,5571027680,557102768
2208,2026-08-30,台灣國際造船股份有限公司,上市,航運業,12745394490,1274539449
2211,2026-08-30,長榮鋼鐵股份有限公司,上市,鋼鐵工業,4170914630,417091463
2221,2026-08-30,大甲永和機械工業股份有限公司,上櫃,其他,423250000,42325000
2227,2026-08-30,裕隆日產汽車股份有限公司,上市,汽車工業,3000000000,300000000
2228,2026-08-30,劍麟股份有限公司,上市,汽車工業,797796920,79779692
2230,2026-08-30,泰茂實業股份有限公司,上櫃,居家生活,680296050,68029605
2231,2026-08-30,為升電裝工業股份有限公司,上市,汽車工業,1359318700,135931870
2233,2026-08-30,宇隆科技股份有限公司,上市,汽車工業,602888890,60288889
2235,2026-08-30,謚源實業股份有限公司,上櫃,電機機械,358780000,35878000
2236,2026-08-30,百達精密工業股份有限公司,上市,汽車工業,631309350,63130935
2237,2026-08-30,華德動能科技股份有限公司,上市,汽車工業,1289379010,128937901
2239,2026-08-30,開曼英利工業股份有限公司,上市,汽車工業,1177125930,117712593
2241,2026-08-30,艾姆勒科技股份有限公司,上市,汽車工業,1046023060,104602306
2243,2026-08-30,宏旭控股股份有限公司,上市,汽車工業,773735960,77373596
